"","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6"
"11715100_at",3.775403,4.028771,3.841922,3.981354,3.754568,4.027355
"11715101_s_at",5.706556,5.809457,5.648881,5.77429,5.89907,5.575175
"11715102_x_at",4.202694,4.201547,4.110125,4.129442,3.980574,4.26311
"11715103_x_at",4.693202,4.782004,4.828667,5.3607,6.039214,4.950865
"11715104_s_at",4.893018,4.635722,5.107199,5.209277,4.910872,4.821367
"11715105_at",3.313494,3.314036,3.308541,3.076097,3.221623,3.242552
"11715106_x_at",4.489944,4.464323,4.613503,4.784208,4.583929,4.755057
"11715107_s_at",4.674327,4.763316,4.816365,4.825165,4.888919,4.717119
"11715108_x_at",3.539016,3.276739,3.695445,3.840264,3.309228,3.447804
"11715109_at",3.649162,3.549045,3.664208,3.528607,3.624593,3.541011
"11715110_at",5.160796,5.111747,5.122417,5.046517,5.109627,4.71765
"11715111_s_at",7.484085,7.347342,7.685168,7.284035,7.435085,7.573918
"11715112_at",2.79255,3.197359,3.082318,2.804796,3.107885,2.837204
"11715113_x_at",7.640173,7.070318,7.603322,7.221088,7.36084,7.43032
"11715114_x_at",7.470789,7.202843,7.291222,7.122213,7.288781,7.478816
"11715115_s_at",2.631447,2.741053,2.702612,2.922541,2.640628,2.953821
"11715116_s_at",3.39434,3.716609,3.616038,3.468565,3.756988,3.886712
"11715117_x_at",2.707075,2.613645,3.366365,2.735881,2.892947,2.693126
"11715118_s_at",3.087239,2.932105,2.918022,2.982397,2.96243,3.087239
"11715119_s_at",3.06174,3.176799,3.223262,2.99859,3.411604,3.343517
"11715120_s_at",4.057193,3.933217,4.56682,4.10811,4.512168,4.28335
"11715121_s_at",2.9906,2.984612,3.299936,3.249072,3.14063,3.162057
"11715122_at",4.320832,4.166689,4.53849,4.856223,4.880184,4.511284
"11715123_s_at",3.9488,3.475863,3.843389,3.873987,4.266461,3.826752
"11715124_s_at",6.986114,6.879379,6.696125,7.146775,7.243205,7.199741
"11715125_at",8.161746,8.244236,8.11841,8.065893,7.783258,7.964347
"11715126_s_at",4.969848,4.618738,4.968663,4.920683,5.019499,5.054521
"11715127_s_at",3.641316,3.423679,3.859261,3.269769,3.800802,3.793677
"11715128_s_at",5.566546,5.511314,5.700821,5.687861,5.379756,5.813767
"11715129_s_at",7.985754,7.818314,8.117406,8.008013,8.134096,8.170732
"11715130_s_at",5.312218,5.193957,5.387985,5.656493,5.329605,5.609765
"11715131_s_at",3.793228,3.692029,3.579513,3.903284,3.846863,3.773386
"11715132_x_at",2.910415,3.075963,3.203857,3.119075,2.829044,2.898431
"11715133_s_at",2.366345,2.450024,2.318669,2.454713,2.491421,2.603958
"11715134_s_at",2.740655,2.574619,2.701118,2.698491,2.812212,2.74707
"11715135_s_at",3.882719,3.397528,4.108111,3.931106,3.936963,3.891598
"11715136_at",4.405988,4.553702,4.797054,4.729135,4.834455,4.671412
"11715137_s_at",7.415107,7.262541,7.472585,7.364152,7.551193,7.630182
"11715138_s_at",7.62061,7.399815,7.756922,7.406481,7.670447,7.624334
"11715139_x_at",2.799991,2.883077,2.772173,2.774489,2.617335,2.82715
"11715140_s_at",5.065707,4.949266,5.281386,5.11907,5.05834,4.939207
"11715141_s_at",4.065228,3.613821,3.734411,3.733689,3.707251,3.901501
"11715142_s_at",3.201223,2.886365,2.80787,2.839734,2.835312,3.206862
"11715143_s_at",3.586183,3.447644,3.466597,3.607184,3.682853,3.516377
"11715144_s_at",5.348103,5.443191,5.361623,5.430243,5.274256,5.335971
"11715145_s_at",5.329329,5.350492,5.240332,4.981618,5.409386,5.142742
"11715146_x_at",3.433414,3.514682,3.916806,3.700542,3.813349,3.912252
"11715147_at",3.357738,3.583547,3.424699,3.463606,3.339927,3.642116
"11715148_s_at",3.437385,3.347283,3.454395,3.401092,3.333063,3.483399
"11715149_x_at",3.433414,3.468946,3.651837,3.498374,3.464558,3.715049
"11715150_s_at",5.768864,5.42749,5.56759,5.85851,5.556895,5.75756
"11715151_x_at",3.810629,3.645583,3.430136,3.680614,3.565909,3.752268
"11715152_at",2.60853,2.661092,2.871319,2.656508,2.699421,2.588768
"11715153_s_at",3.395329,3.762411,3.419665,3.325347,3.423434,3.509005
"11715154_s_at",2.554459,2.816058,2.524712,2.785717,2.861545,2.914229
"11715155_s_at",6.51506,6.253055,6.616109,6.655558,6.473043,6.459917
"11715156_s_at",9.991482,9.845502,10.0045,10.22929,10.19331,10.3351
"11715157_s_at",3.029513,2.960833,2.764979,2.98411,3.045622,2.861134
"11715158_s_at",3.015299,2.984612,2.997393,3.346129,3.114574,3.116737
"11715159_at",9.841388,10.00767,9.787513,10.03379,9.998661,10.05718
"11715160_x_at",3.103771,2.987592,2.932959,2.971314,3.05813,3.367669
"11715161_s_at",4.284752,3.966535,4.109588,4.484066,4.341112,4.22885
"11715162_s_at",4.239165,4.11682,4.132235,4.138557,4.337653,4.732016
"11715163_s_at",3.135192,3.043764,3.272234,3.10437,3.059721,3.051021
"11715164_s_at",4.362881,4.421687,4.584993,4.036441,4.514052,4.002782
"11715165_at",4.593576,7.131148,5.501659,5.581052,5.208759,5.368628
"11715166_at",3.602906,4.533037,4.212241,3.861453,4.000558,4.009475
"11715167_at",8.918684,7.327769,7.508376,7.664679,8.393827,7.750183
"11715168_s_at",4.917752,4.640924,5.270324,4.691851,4.744195,4.778275
"11715169_at",6.577915,6.282928,6.468203,6.688671,6.761293,6.717867
"11715170_x_at",3.042404,3.00139,3.094357,3.136203,2.966402,3.307961
"11715171_at",5.871004,5.826926,5.75563,6.175898,6.055875,5.945642
"11715172_at",3.302218,3.228666,2.931869,3.124981,2.961275,3.099801
"11715173_s_at",8.068577,7.789184,7.993855,7.988646,8.128465,8.117384
"11715174_s_at",6.429759,6.354743,6.382109,6.733724,6.374331,6.591874
"11715175_x_at",7.425277,7.362466,7.623338,7.533273,7.574368,7.719247
"11715176_at",3.669962,3.669771,4.143044,3.766628,4.22783,4.104917
"11715177_s_at",3.022068,3.160009,3.17999,3.125118,3.238979,3.328227
"11715178_s_at",7.596072,7.574387,7.770247,7.788733,7.869081,7.975508
"11715179_s_at",3.876062,3.500877,3.604642,3.708825,3.503037,3.650816
"11715180_s_at",2.667995,2.519542,2.612358,2.519298,2.671813,2.756945
"11715181_x_at",7.456708,7.127114,7.440738,7.439218,7.547136,7.423007
"11715182_x_at",7.514473,7.346121,7.425016,6.98789,7.349979,7.383646
"11715183_s_at",2.990763,2.936028,2.809993,2.999275,2.92832,3.143976
"11715184_x_at",11.55022,11.47529,11.46954,11.41307,11.37733,11.32059
"11715185_x_at",5.127125,4.847346,5.138932,5.052377,5.016458,5.052939
"11715186_x_at",3.71692,3.331413,3.54454,3.501016,3.306442,3.575468
"11715187_x_at",3.545383,3.114135,3.440497,3.550619,3.30731,3.775317
"11715188_at",2.444984,2.502325,2.429262,2.529791,2.567122,2.690187
"11715189_s_at",11.87282,11.7969,12.01701,12.1937,12.20507,11.55167
"11715190_s_at",2.881835,3.088123,2.788851,2.918117,2.91724,3.193177
"11715191_s_at",2.902322,2.74252,2.778448,2.797428,2.640615,3.003174
"11715192_s_at",3.083326,2.906413,2.894666,2.832109,2.865479,3.068532
"11715193_s_at",6.841281,6.752768,6.777633,6.868806,6.719431,7.079962
"11715194_s_at",5.616135,5.445856,5.500131,5.980715,5.90236,6.035409
"11715195_at",7.469635,7.810262,7.682256,7.533473,7.377218,7.655972
"11715196_s_at",5.156474,5.221354,5.070242,5.155787,5.311747,5.142277
"11715197_s_at",4.337398,4.554318,4.669274,4.349316,4.39604,4.394011
"11715198_s_at",8.090157,7.723614,8.041067,7.993511,7.969361,8.052592
"11715199_s_at",8.043999,7.775253,7.980322,8.018294,7.865393,7.964073
"11715200_s_at",7.904315,7.864213,8.108031,7.970196,7.829323,7.961541
"11715201_s_at",7.98807,7.849428,8.049582,7.966466,7.822005,8.162409
"11715202_s_at",9.836182,9.733105,10.02069,9.729522,9.634022,10.14646
"11715203_s_at",3.411951,3.412887,2.947433,3.462241,3.424081,3.21154
"11715204_x_at",2.668121,2.955081,3.615963,3.177003,3.124738,2.978517
"11715205_x_at",8.831814,7.815194,8.916803,7.791029,7.685314,7.672601
"11715206_x_at",8.831814,7.815194,8.916803,7.791029,7.685314,7.672601
"11715207_at",4.076353,3.491507,4.003554,4.140131,4.089818,3.914201
"11715208_s_at",4.181903,4.083982,4.287799,4.252705,4.335258,4.053597
"11715209_s_at",9.751391,9.65353,9.674496,9.66045,9.715122,9.847796
"11715210_s_at",7.953668,7.990247,6.732012,5.975231,7.296162,6.532196
"11715211_s_at",4.766402,4.79168,4.942451,4.945724,4.621987,4.626164
"11715212_x_at",8.756998,8.619886,8.729172,8.750982,8.654966,8.786788
"11715213_s_at",3.997846,3.853522,3.861431,3.933391,3.86067,3.735329
"11715214_at",4.823326,4.749938,4.896684,4.864594,4.812276,4.678177
"11715215_s_at",3.116601,3.026264,3.205313,3.142011,3.335177,3.079718
"11715216_s_at",2.990886,2.935126,2.792912,2.760096,2.892582,2.698491
"11715217_s_at",3.706201,3.827733,3.752841,3.735477,4.060274,3.697612
"11715218_s_at",12.66881,12.53046,12.81009,12.70888,12.707,13.06573
"11715219_s_at",3.280087,3.012249,3.14714,3.026649,3.108427,3.13382
"11715220_s_at",6.075617,5.79662,6.01629,5.893551,5.769771,6.255185
"11715221_x_at",7.320601,6.66186,6.893064,6.949649,6.725237,6.421682
"11715222_at",6.920981,6.607081,6.914877,7.091878,6.701633,6.355348
"11715223_s_at",3.939036,3.895808,4.217308,4.286964,4.090988,4.124757
"11715224_s_at",4.155843,4.039281,4.212281,4.016519,4.280371,4.241612
"11715225_s_at",7.93199,7.766939,8.145173,8.104939,8.057205,7.774063
"11715226_s_at",4.537461,4.441705,4.410616,4.458029,4.61919,4.827706
"11715227_s_at",4.734319,4.802397,4.961998,4.756097,5.132085,4.847925
"11715228_s_at",3.670111,3.660383,3.869884,3.715693,3.682549,3.786921
"11715229_s_at",4.281268,4.186878,4.219611,4.231252,4.319198,4.327321
"11715230_s_at",4.345264,4.242511,4.370164,4.725516,4.258581,4.408905
"11715231_x_at",10.38686,10.38783,10.05302,10.34705,10.20705,10.33831
"11715232_x_at",7.272885,7.454732,7.285845,7.401469,7.370315,7.564498
"11715233_s_at",6.167746,5.825579,6.286024,5.497532,5.238226,5.44872
"11715234_s_at",5.347193,5.549413,5.529428,5.368375,5.528559,5.449437
"11715235_x_at",9.473583,9.677258,9.24885,9.671172,9.344456,9.585018
"11715236_s_at",3.835584,3.484887,3.570118,3.392997,3.851171,3.70369
"11715237_s_at",12.91729,12.82695,12.59409,12.77957,12.75238,12.66511
"11715238_x_at",12.67199,12.53038,12.49728,12.58788,12.60356,12.42331
"11715239_x_at",10.70822,10.93427,11.84199,11.69165,11.85051,11.36153
"11715240_at",6.749778,6.684639,6.356812,5.810178,6.148272,5.817944
"11715241_s_at",8.379913,8.097572,8.496914,8.212423,8.207239,8.397251
"11715242_s_at",3.879996,3.692643,3.886131,3.821318,3.782821,4.016196
"11715243_x_at",6.822164,6.585222,6.831512,6.588598,6.624485,6.850544
"11715244_x_at",8.114141,7.764193,8.200342,8.106565,7.99921,8.059557
"11715245_s_at",6.0736,5.807534,5.729689,5.932617,6.027738,6.187903
"11715246_x_at",5.787927,5.631747,5.968481,5.644113,5.759485,5.707511
"11715247_s_at",4.637853,5.054252,5.074594,4.458547,4.591836,4.57717
"11715248_s_at",3.297618,2.927454,2.866597,2.898165,2.845856,2.96155
"11715249_s_at",2.334639,2.352273,2.505432,2.289391,2.446908,2.282413
"11715250_s_at",5.124532,4.588955,4.830651,4.50253,4.527966,4.499485
"11715251_at",6.904919,7.501413,7.088327,7.15019,7.308994,7.224781
"11715252_at",8.195093,7.471285,7.830053,7.39515,8.211146,6.978482
"11715253_s_at",7.093765,6.963367,7.26821,7.019114,7.398716,7.447678
"11715254_s_at",4.621789,4.845119,4.625264,4.715096,5.051684,4.748596
"11715255_s_at",3.297696,2.949153,3.36238,3.24535,3.256792,3.212286
"11715256_at",3.034411,3.132614,3.070588,3.131818,3.131723,2.938605
"11715257_x_at",3.643274,3.433054,3.643088,3.799953,3.728135,3.610959
"11715258_s_at",7.51722,7.21783,7.885768,7.35492,7.477504,7.165589
"11715259_s_at",2.888336,2.936208,2.743282,2.708596,3.033709,2.666455
"11715260_at",5.280166,5.475616,5.086903,5.101063,5.05477,4.974894
"11715261_s_at",3.308529,3.213728,3.303279,3.293826,3.269769,3.181122
"11715262_at",4.244973,4.424927,4.135121,4.200844,4.34289,4.385345
"11715263_at",3.416739,2.935705,3.581097,3.370143,3.336614,3.341393
"11715264_s_at",6.51381,6.302943,6.618243,6.651759,6.717091,6.896177
"11715265_at",8.167172,8.456158,8.449384,8.277713,8.342397,8.412093
"11715266_s_at",3.255624,3.610498,3.321356,3.293442,3.466381,3.552365
"11715267_s_at",2.756945,2.832471,3.047198,3.307352,3.017289,2.963502
"11715268_s_at",7.45943,7.483106,7.132413,7.787681,7.200773,7.543777
"11715269_x_at",3.799058,4.039459,3.911738,3.771641,3.938629,3.932366
"11715270_s_at",5.094192,5.008941,5.006059,5.293956,5.070595,4.844993
"11715271_s_at",8.158745,8.117758,8.232573,8.341006,8.070374,8.215082
"11715272_s_at",2.558298,2.834319,2.591886,2.579674,2.603157,2.706639
"11715273_at",5.411954,4.941304,7.351299,5.606284,5.601222,5.681093
"11715274_x_at",5.73888,5.155447,7.073089,5.781846,5.89097,5.959124
"11715275_s_at",2.551876,2.751962,2.532339,2.579674,2.565522,2.537345
"11715276_s_at",9.129621,9.162559,9.62782,9.855373,9.974913,9.752317
"11715277_s_at",9.218891,9.154556,9.662454,9.933561,10.02467,9.805128
"11715278_s_at",9.315638,9.189644,9.649964,9.942833,10.03408,9.756619
"11715279_x_at",3.568944,2.996154,3.16531,3.040851,3.065789,3.193198
"11715280_s_at",4.771095,4.861802,5.35861,4.806324,5.13489,5.086646
"11715281_at",4.004203,3.518489,4.09435,3.556973,4.011779,4.118214
"11715282_s_at",7.373986,7.185839,7.799979,7.540811,7.525353,7.672721
"11715283_at",3.646184,3.459912,3.775805,3.662658,3.865112,3.509018
"11715284_x_at",5.330768,5.033305,5.126863,5.230676,5.047666,5.190513
"11715285_at",4.371854,4.249166,4.302189,3.902466,4.20914,4.197062
"11715286_x_at",5.488561,5.624589,5.674404,5.447699,5.720222,5.573174
"11715287_at",4.375632,4.179305,4.056495,4.619058,4.525363,4.571003
"11715288_s_at",3.129115,2.986135,3.105294,3.007127,2.884312,3.222533
"11715289_s_at",3.895441,3.96165,4.051647,4.207543,4.232278,4.039281
"11715290_s_at",3.63893,3.634802,3.497765,3.501351,3.508209,3.603119
"11715291_s_at",3.178588,3.223252,3.199849,3.076374,3.221489,3.435348
"11715292_at",4.798802,4.813465,3.910502,3.951228,4.187487,3.917128
"11715293_s_at",3.94426,3.860404,3.515074,3.784624,4.09691,4.278511
"11715294_s_at",4.599195,3.566977,3.680103,3.875065,3.483439,3.586672
"11715295_s_at",3.955348,3.946852,4.048631,3.972334,3.935372,3.869527
"11715296_s_at",6.073556,6.271842,6.418042,6.467833,6.091345,6.59126
"11715297_at",3.628277,3.811756,3.568863,3.404627,3.797552,3.66205
"11715298_x_at",2.987751,3.059556,2.987219,3.063045,3.076673,2.998787
"11715299_s_at",3.489637,3.260095,3.502205,3.321653,3.417992,3.363527
"11715300_s_at",2.61442,2.487184,2.633178,2.661049,2.63404,2.562543
"11715301_s_at",9.087914,8.566917,8.440849,8.758229,8.41156,8.474563
"11715302_s_at",3.652171,3.846633,3.788462,3.757862,3.91021,3.759832
"11715303_s_at",5.9806,6.021696,6.019711,6.010193,5.827778,6.217537
"11715304_s_at",5.933208,5.753277,5.999619,6.139142,5.980825,5.968337
"11715305_s_at",3.221702,5.05792,2.969283,4.843661,2.957125,3.342183
"11715306_s_at",2.522109,2.790337,2.894069,2.613064,2.714998,2.425989
"11715307_s_at",6.172884,5.933379,6.249084,6.189229,6.120207,6.060978
"11715308_s_at",5.406629,5.457733,5.496103,5.673703,5.460186,5.534413
"11715309_s_at",5.949991,5.963521,6.245746,5.955562,6.008949,6.268177
"11715310_s_at",5.970624,5.932056,6.064186,6.19937,6.058825,6.116514
"11715311_s_at",2.988532,2.941439,3.010663,2.839561,2.930928,3.20125
"11715312_at",5.5488,6.118687,6.915069,7.618422,7.312692,6.829898
"11715313_s_at",7.838796,7.838751,8.112265,7.69891,7.926054,7.956008
"11715314_at",4.046957,3.827038,3.947628,4.303917,3.766007,4.078882
"11715315_s_at",5.822598,5.823363,5.417741,6.041703,5.37819,5.305791
"11715316_x_at",4.470934,4.484284,8.153967,4.359107,4.208089,4.318111
"11715317_s_at",7.572414,7.408304,7.900165,7.430238,7.483644,7.677168
"11715318_s_at",3.280204,2.905858,3.355596,3.165346,2.81254,3.13521
"11715319_s_at",3.026629,2.865494,2.945087,3.0283,2.861483,2.977026
"11715320_s_at",3.589073,3.605166,3.43346,3.640445,4.050675,4.310064
"11715321_x_at",8.364783,8.187411,8.658529,8.382068,8.40284,8.660619
"11715322_s_at",2.510629,2.602032,2.633152,2.696119,2.589548,2.662527
"11715323_s_at",5.548899,5.480021,5.643454,5.469681,5.474266,5.362696
"11715324_s_at",3.213123,2.806213,3.004016,3.177777,2.905181,2.896104
"11715325_at",6.980907,6.205975,6.767217,6.831992,6.788749,6.878489
"11715326_s_at",5.742755,5.5337,5.443951,5.736421,5.85323,6.056021
"11715327_x_at",7.552069,7.717552,7.5638,7.264668,7.554692,7.776577
"11715328_at",5.290651,5.176996,5.016934,5.29683,4.947105,5.339933
"11715329_at",4.668908,4.02899,4.078045,3.754599,3.668289,3.84478
"11715330_x_at",4.728868,4.501344,4.622218,4.706354,4.692394,4.833637
"11715331_x_at",9.161695,8.853571,8.61009,8.828894,9.419573,7.97368
"11715332_at",5.494894,5.133609,5.289235,5.457112,5.313203,5.479065
"11715333_s_at",5.01631,5.458395,5.386128,5.382998,5.249392,5.56991
"11715334_s_at",4.335778,4.392688,4.269402,4.523915,4.056676,4.495953
"11715335_at",3.821402,3.612452,4.062862,3.770771,4.11165,4.268835
"11715336_x_at",5.335941,5.170846,5.440398,5.19127,5.262665,5.236135
"11715337_s_at",6.048179,5.754155,6.272615,5.649921,5.941162,6.062796
"11715338_s_at",4.654858,4.239434,4.445407,4.917071,4.7455,4.662458
"11715339_at",3.194417,3.290365,3.241114,3.172587,3.382449,3.202023
"11715340_s_at",2.619965,2.992565,2.814748,2.81903,3.165196,2.795474
"11715341_at",3.508687,3.326992,3.160143,3.299126,3.190803,3.099083
"11715342_at",5.342456,5.030686,5.471096,6.073921,5.698943,5.302666
"11715343_at",3.655462,3.502076,3.531189,3.58687,3.775273,3.679625
"11715344_at",11.23652,11.25572,11.28332,11.49825,11.19087,11.53464
"11715345_s_at",4.909525,4.686793,4.835705,4.665982,4.719996,4.986942
"11715346_at",4.344463,4.370025,4.452793,4.564305,4.468339,4.753174
"11715347_s_at",2.824986,2.710881,2.873737,2.902476,3.038873,3.02828
"11715348_x_at",4.898971,4.952937,5.125043,5.083272,5.141425,5.25567
"11715349_a_at",12.73169,12.79229,12.92286,12.82666,12.81709,12.95603
"11715350_a_at",12.64183,12.88245,12.75084,11.96977,12.26852,12.0089
"11715351_at",12.28513,12.47663,11.75198,11.46007,12.09274,11.69773
"11715352_x_at",11.97946,12.10936,11.49706,11.11133,11.79082,11.36016
"11715353_s_at",13.85293,13.77041,13.66303,13.78625,13.82424,13.65687
"11715354_a_at",14.0066,13.93283,13.63029,13.49041,13.74546,13.55118
"11715355_at",14.01172,13.96006,13.81797,13.54935,13.79373,13.63462
"11715356_x_at",13.99441,13.98182,13.79461,13.59609,13.805,13.63469
"11715357_s_at",13.06111,13.20741,12.99198,13.03915,13.05695,12.98507
"11715358_x_at",8.880453,9.409512,9.435444,8.782906,8.673597,9.012793
"11715359_a_at",13.17998,13.24514,13.19871,12.72467,13.57371,13.00237
"11715360_x_at",13.2373,13.31189,13.27928,12.85008,13.65386,13.07497
"11715361_a_at",12.16028,12.28351,11.83987,12.03258,12.03687,12.7759
"11715362_at",11.86724,12.06863,11.58402,11.72849,11.68069,12.59038
"11715363_a_at",8.349261,4.709669,4.850618,3.523138,5.634266,5.128115
"11715364_a_at",6.538085,6.280162,6.574061,6.678237,6.425538,6.636938
"11715365_x_at",6.504195,6.236268,6.124358,6.430453,6.055838,6.316149
"11715366_a_at",8.915208,9.321421,9.181261,9.12845,9.171606,9.264142
"11715367_s_at",12.69059,12.67611,12.81206,12.79951,12.73307,12.78428
"11715368_a_at",4.852121,7.898134,7.26669,5.840727,4.113511,4.439134
"11715369_s_at",12.90396,12.51501,12.45845,12.56708,12.5386,12.7145
"11715370_s_at",8.29053,9.010478,8.706795,8.213017,7.991757,8.188964
"11715371_a_at",7.916707,8.003467,8.681551,8.483225,7.875398,8.009648
"11715372_a_at",11.42267,11.41713,11.32998,11.26052,11.52529,11.4331
"11715373_a_at",7.629257,7.490729,8.105903,7.598902,7.579869,7.162213
"11715374_a_at",7.651062,7.389181,7.446402,7.529342,7.749707,7.555874
"11715375_x_at",7.117616,7.075652,7.265951,7.341689,7.380699,6.940953
"11715376_a_at",12.49566,12.50955,12.2661,12.31799,12.35559,12.35277
"11715377_x_at",11.42774,11.58894,11.50129,11.53167,11.49689,11.78838
"11715378_x_at",4.804434,4.471758,5.080208,4.840055,4.909222,4.693512
"11715379_a_at",9.189562,8.851648,9.08457,8.702232,8.78516,9.435827
"11715380_s_at",10.55918,10.14096,10.37128,9.780761,9.982336,10.52238
"11715381_a_at",8.502179,8.095352,8.299821,7.585135,7.838114,8.499619
"11715382_x_at",7.436413,7.014145,7.023788,6.77248,6.747288,6.931817
"11715383_a_at",10.34131,9.931124,10.74829,10.05759,9.882648,9.651873
"11715384_x_at",10.47843,10.12051,10.94588,10.26308,10.12156,9.908915
"11715385_s_at",12.90743,12.73238,12.72844,12.40292,12.67465,12.78676
"11715386_at",3.977463,3.696759,3.731639,4.147067,3.93583,4.004532
"11715387_at",10.53769,10.4712,10.27785,9.551546,9.819362,10.54379
"11715388_s_at",12.27018,12.31999,12.07947,11.60822,11.70927,12.40361
"11715389_x_at",10.74439,10.00077,10.44969,10.06363,10.46938,11.00711
"11715390_s_at",10.50008,9.550041,10.04546,9.763033,9.578639,10.1619
"11715391_s_at",11.59343,11.335,11.51325,11.57319,11.35034,11.60022
"11715392_x_at",11.27459,11.01317,11.1381,11.29791,11.04455,11.25448
"11715393_a_at",3.842551,5.993177,6.19501,4.706676,4.254639,5.141265
"11715394_s_at",11.26593,11.27538,11.62739,11.0192,11.1641,11.46475
"11715395_a_at",13.10143,13.18401,13.19795,12.45104,13.26695,13.30589
"11715396_s_at",12.27888,12.39008,12.37903,12.21965,12.44448,12.47249
"11715397_x_at",9.350348,9.707805,9.634423,9.845047,9.930273,9.684764
"11715398_a_at",10.64926,10.29773,10.58374,10.22378,10.19315,10.08798
"11715399_at",11.60373,11.71824,11.52948,11.84229,11.75969,11.11198
"11715400_x_at",11.16389,11.42082,11.21223,11.49677,11.42895,10.8013
"11715401_s_at",11.25337,11.26985,11.42821,11.31488,11.66602,11.04926
"11715402_x_at",10.14207,10.13049,10.2773,10.29321,10.52187,9.978678
"11715403_a_at",10.11226,8.742308,9.204329,8.168381,8.372484,7.882223
"11715404_a_at",12.72199,11.65296,12.08775,11.70826,11.83708,11.49007
"11715405_x_at",13.12963,12.13423,12.4517,12.07654,12.19091,11.85228
"11715406_a_at",10.22049,8.661287,8.652147,8.258012,8.444228,8.22254
"11715407_s_at",10.95057,11.2701,11.20469,11.35492,11.05812,11.09408
"11715408_x_at",11.15878,11.45314,11.34593,11.48644,11.23384,11.25012
"11715409_a_at",9.589285,9.983027,9.649621,10.01313,9.832634,10.17783
"11715410_x_at",9.356997,9.728907,9.418642,9.813402,9.576469,9.956322
"11715411_a_at",10.76867,10.77549,10.57256,10.1761,10.34722,11.28278
"11715412_a_at",4.680398,4.228485,4.498541,4.888526,4.669014,4.576847
"11715413_s_at",10.40975,10.31627,10.38214,10.08963,9.734036,10.27745
"11715414_x_at",11.25986,11.68929,11.25757,10.81801,11.2607,11.37581
"11715415_a_at",12.9504,13.43904,13.02745,12.9235,13.08986,13.17507
"11715416_s_at",10.04257,10.34861,9.978613,10.1943,9.921204,10.27536
"11715417_s_at",11.28343,11.39829,11.26204,11.55844,11.34935,11.64963
"11715418_x_at",10.77539,10.85625,11.04883,11.05868,10.90334,11.1591
"11715419_at",6.747351,6.911189,7.298192,6.276706,6.486751,6.844394
"11715420_a_at",8.790167,8.800848,8.892922,9.042239,8.931636,8.5768
"11715421_a_at",10.51434,10.56746,10.73974,10.78369,10.69965,10.40852
"11715422_a_at",10.71845,10.99204,10.80061,10.99954,10.87778,11.38451
"11715423_s_at",10.68823,10.79691,10.55783,10.79232,10.65544,11.30354
"11715424_x_at",10.77724,10.92523,10.77001,10.9085,10.80553,11.33074
"11715425_x_at",9.254224,9.060566,9.858582,9.53873,10.01447,9.670604
"11715426_s_at",11.16512,10.92086,11.06529,11.10601,11.00016,10.83032
"11715427_at",9.294418,9.076151,9.072292,9.131434,8.84991,9.246786
"11715428_x_at",11.91995,11.98975,11.87846,12.15453,12.35222,12.33661
"11715429_s_at",12.30662,12.23184,12.44353,12.43046,12.64155,12.68949
"11715430_a_at",12.01994,11.77297,10.60417,10.3232,10.41759,11.33515
"11715431_a_at",5.812934,5.577666,5.157475,5.498353,5.544061,6.132413
"11715432_a_at",10.55707,10.21614,10.05037,10.30105,10.10551,10.85302
"11715433_a_at",9.357377,9.375478,9.474708,9.963995,9.841545,8.929848
"11715434_a_at",9.545041,9.536373,9.381439,9.43594,9.731388,9.239631
"11715435_s_at",12.26361,12.33615,12.78491,11.62899,12.48689,11.53798
"11715436_at",11.43763,11.4579,11.40032,10.25472,10.98492,9.644238
"11715437_at",11.04754,10.96134,11.44872,9.701547,10.81162,9.51059
"11715438_at",7.995778,8.186311,7.893909,7.707579,8.037996,8.043175
"11715439_at",10.51017,10.85769,10.8186,10.46021,10.80508,10.77163
"11715440_a_at",11.10722,12.16105,12.04485,12.56152,12.36503,12.5916
"11715441_a_at",12.17606,12.99871,12.82157,13.36819,13.14626,13.36496
"11715442_s_at",12.67983,13.21263,13.18389,13.51079,13.42537,13.40808
"11715443_a_at",3.472525,3.423679,3.653154,3.379356,3.677193,3.552366
"11715444_at",3.086002,2.779751,2.940123,2.644855,2.90368,2.874772
"11715445_a_at",7.819808,7.824255,7.357344,7.430303,7.656667,7.796788
"11715446_a_at",9.396133,9.418131,9.219339,9.125082,9.088665,9.482207
"11715447_at",11.57397,12.20726,12.03825,12.06392,12.18274,12.13369
"11715448_at",9.94388,10.01289,10.19575,9.491087,9.7735,10.07066
"11715449_x_at",9.94388,10.03768,10.19372,9.497834,9.771463,10.05236
"11715450_at",5.182779,5.534516,5.480484,5.696447,4.809008,5.544946
"11715451_a_at",8.088751,9.436676,9.270086,9.458252,9.151037,9.329426
"11715452_s_at",9.701822,11.44542,11.05018,11.32091,11.12265,11.18871
"11715453_a_at",7.153859,8.443798,8.100818,8.60493,7.189008,7.476911
"11715454_at",5.679689,5.632921,5.460857,5.67817,5.825867,7.222769
"11715455_x_at",4.843084,4.759978,4.552932,4.984529,4.970243,6.386164
"11715456_a_at",10.88608,10.90368,11.0341,10.99793,11.15097,10.81802
"11715457_x_at",10.68978,10.69922,10.79066,10.65719,11.02008,10.6305
"11715458_a_at",11.94584,11.87091,12.05971,12.30325,12.36475,12.29329
"11715459_x_at",12.02044,11.90164,12.14477,12.31738,12.39336,12.34444
"11715460_a_at",6.986781,8.310116,8.66239,8.506564,7.998299,8.191797
