"","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6"
"11761721_a_at",3.124583,3.370388,3.270426,3.502172,3.386478,3.188911
"11761722_x_at",3.179321,3.639336,3.165545,3.500011,3.334223,3.359422
"11761723_at",2.601275,2.455719,2.38127,2.653267,2.527767,2.55145
"11761724_at",2.949087,2.792507,2.882333,2.744473,2.964659,2.906352
"11761725_a_at",2.89147,3.055385,2.993753,2.903989,3.041614,3.080578
"11761726_a_at",2.817626,2.604618,2.66151,2.825442,2.75463,2.865191
"11761727_x_at",5.660968,4.999185,6.205359,5.334044,5.600486,5.575525
"11761728_a_at",4.252333,4.657797,4.182878,3.591184,4.474174,4.04021
"11761729_x_at",3.789849,4.199794,4.127827,3.790725,4.140072,3.703314
"11761730_a_at",7.36724,7.455267,7.692295,7.298401,7.46536,7.533501
"11761731_x_at",3.689695,3.714464,3.478328,3.565826,3.38918,3.867919
"11761732_at",4.254574,4.254095,4.30867,4.188528,4.209453,4.364131
"11761733_at",3.417954,3.593697,3.425988,3.578404,3.394701,3.553305
"11761734_x_at",10.17179,10.46426,10.62496,10.48238,10.66778,10.55134
"11761735_a_at",4.917752,4.588956,5.293043,4.716223,4.589332,4.884402
"11761736_at",3.556716,3.468712,3.546447,3.401222,3.895654,3.345912
"11761737_x_at",5.094193,4.555679,4.712112,5.36458,4.851426,5.065297
"11761738_x_at",7.299135,7.503047,7.206058,7.320554,7.669842,6.583691
"11761739_at",5.13474,5.066987,4.8742,5.098878,5.337873,5.188851
"11761740_at",3.227321,3.14798,3.107969,3.163565,3.131884,3.34773
"11761741_at",2.917064,2.818442,2.820857,2.979955,3.147856,3.025615
"11761742_at",2.889781,2.670336,2.786671,2.579674,2.914841,3.108977
"11761743_a_at",5.27,5.374309,5.581546,5.168495,5.631165,5.465673
"11761744_at",4.722091,4.952862,4.751617,4.650078,4.855995,4.657652
"11761745_at",2.942191,2.761559,2.772064,3.032333,2.816064,2.919946
"11761746_x_at",4.141641,4.486769,4.392767,4.516818,4.370658,4.189809
"11761747_at",3.582986,3.585587,3.669403,3.594461,3.366962,3.752429
"11761748_at",4.16093,3.832125,4.029401,4.23061,4.084386,4.117427
"11761749_at",3.071568,2.702172,3.079603,2.994432,3.070578,3.198388
"11761750_x_at",4.772832,4.723752,4.776132,4.859644,4.876644,4.939893
"11761751_at",3.923793,3.942886,3.747607,3.958584,3.71911,3.980162
"11761752_at",3.034655,3.333283,3.549261,3.330112,3.120769,3.072715
"11761753_x_at",3.371248,3.310672,3.18304,3.015059,3.302119,3.400331
"11761754_x_at",5.403416,5.229771,5.531094,5.120983,5.33709,5.517682
"11761755_at",3.442382,3.383119,3.18304,3.454386,3.330175,3.405507
"11761756_x_at",6.004816,5.141009,5.10178,5.359,5.182868,5.117542
"11761757_at",3.98791,3.610063,3.987807,3.854846,3.825599,3.84901
"11761758_at",4.070058,4.004633,4.086617,3.677536,3.973649,3.766991
"11761759_at",6.805167,6.701825,6.488622,6.634622,6.614794,6.628201
"11761760_a_at",3.808837,3.614153,3.860581,3.732134,3.694541,3.906069
"11761761_x_at",5.465056,5.297576,5.5136,5.365464,5.623909,5.68832
"11761762_a_at",4.459324,4.377822,4.285171,4.285597,4.548064,4.317409
"11761763_a_at",4.120394,3.981398,3.848869,3.847712,4.24758,4.099936
"11761764_at",3.886286,3.876846,3.991619,3.957719,3.874608,4.112269
"11761765_at",3.357393,3.440449,3.569705,3.552507,3.761456,3.58999
"11761766_x_at",4.724319,4.702476,4.81512,5.137113,5.066442,4.793798
"11761767_at",5.179404,4.804749,5.284375,5.035408,5.129576,5.071331
